Player,Y,SCR,HA,PlusMinus,BLK,Cmp%,eUPV
Ryan Osgar,7247,115,45,103,2,96.96,729.0
Ryan Osgar - NY,7247,115,45,103,2,96.96,729.0
Ben Jagt,7135,118,40,107,20,92.26,697.0
Ben Jagt - NY,7135,118,40,107,20,92.26,697.0
Jordan Kerr,5880,103,25,100,9,94.96,599.0
Jordan Kerr - SLC,5880,103,25,100,9,94.96,599.0
Jordan Kerr - SLC,6577,121,27,98,3,92.99,569.0
Jordan Kerr,6577,121,27,98,3,92.99,569.0
Quinn Finer - COL,6668,89,32,84,5,97.58,554.0
Pawel Janas,8218,99,54,71,1,94.76,531.0
Pawel Janas - CHI,8218,99,54,71,1,94.76,531.0
Ryan Osgar,7363,114,30,88,2,92.75,518.0
Ryan Osgar - NY,7363,114,30,88,2,92.75,518.0
Leandro Marx,7786,108,38,85,9,90.63,512.0
Leandro Marx - POR,7786,108,38,85,9,90.63,512.0
Sean McDougall - LA,5307,92,25,87,13,93.65,507.0
Sean McDougall,5307,92,25,87,13,93.65,507.0
Ryan Osgar,6217,95,31,80,2,95.94,499.0
Ryan Osgar - NY,6217,95,31,80,2,95.94,499.0
Anders Juengst,4826,84,30,76,4,96.3,462.0
Anders Juengst - RAL,4826,84,30,76,4,96.3,462.0
Evan Swiatek,6065,86,28,77,9,93.75,452.0
Evan Swiatek - ATX,6065,86,28,77,9,93.75,452.0
Ross Barker - CHI,6224,87,42,68,4,93.88,443.0
Ross Barker,6224,87,42,68,4,93.88,443.0
Kyle Henke,4924,72,20,73,12,97.49,437.0
Kyle Henke - ATX,4924,72,20,73,12,97.49,437.0
Rowan McDonnell,6350,84,38,66,7,94.59,436.0
Rowan McDonnell - DC,6350,84,38,66,7,94.59,436.0
Joe Merrill - SLC,4433,67,23,69,12,97.18,412.0
Joe Merrill,4433,67,23,69,12,97.18,412.0
Evan Swiatek,5010,80,26,71,5,95.39,408.0
