Player,Y,SCR,HA,PlusMinus,BLK,Cmp%,PP,eUPV_custom
Austin Taylor,6375,77,20,57,2,94.14,284,232.0
Matt Smith,4138,53,34,52,5,96.14,264,179.0
Elijah Jaime,2811,54,14,48,3,92.23,261,119.0
Antoine Davis,4206,59,25,45,9,89.42,289,141.0
Karl Ekwurtzel,2515,34,12,34,4,98.21,187,160.0
Brett Hulsmeyer,1238,14,14,30,23,94.5,220,70.0
Parker Bray,3750,45,20,25,4,91.02,207,173.0
John Stubbs,2065,29,16,23,3,92.68,145,150.0
JP Burns,1360,23,6,22,6,91.53,170,86.0
Jakeem Polk,639,10,2,20,13,96.3,209,41.0
Michael Fairley,1548,21,11,19,7,92.57,211,78.0
Tanner Robinson,1733,19,7,17,7,94.56,172,107.0
Kelvin Williams,436,5,2,16,12,100.0,210,31.0
Dean Ramsey,515,9,1,14,5,100.0,114,63.0
Kennith Taylor,584,11,3,14,7,82.61,146,38.0
Will Lindquist,972,11,2,10,1,91.67,69,139.0
Hayden Austin-Knab,626,11,4,8,0,89.13,54,115.0
Dylan Tunnell,612,8,2,7,1,95.56,36,186.0
Player Pierce,1899,15,15,5,0,94.33,139,134.0
Adnan Raslan,127,1,1,3,2,100.0,49,35.0
Eric Brodbeck,4425,62,23,54,10,94.34,260,185.0
Vinay Valsaraj,3319,48,13,37,12,90.27,250,131.0
Evan Swiatek,3642,53,17,35,8,90.39,235,152.0
Hayden Stone,2483,38,11,33,5,93.41,273,98.0
Joey Wylie,2226,32,9,32,13,89.52,254,88.0
Mick Walter,1489,13,8,29,23,95.73,220,81.0
Connor DeLuna,724,21,0,27,6,100.0,170,66.0
Shane Heath,2133,34,8,26,2,92.74,170,132.0
Jeremy Keusch,1379,15,10,21,11,94.55,203,77.0
Zach Slayton,1758,24,12,21,10,95.21,225,88.0
Elliott Moore,1841,27,10,20,10,87.5,202,85.0
Jacob Sames,2538,16,22,13,6,96.83,202,133.0
Reese Bowman,1513,16,15,12,9,92.7,259,60.0
John Cecil,862,13,5,11,3,94.44,92,104.0
Joe Sefton,1569,15,12,7,0,91.62,119,125.0
Brian Gfroerer,292,5,2,6,3,90.48,77,42.0
Jake Worthington,546,3,3,6,4,96.15,98,61.0
Matt Chambers,441,6,5,6,4,95.59,76,68.0
Alex Heath,465,5,2,5,2,92.86,70,68.0
Jackson Potts,433,6,3,5,0,95.65,75,64.0
Tanner Halkyard,3985,65,18,59,11,91.33,238,176.0
Benjamin Sadok,6634,68,37,44,2,94.72,296,230.0
Willie Stewart,3301,38,23,34,7,94.92,277,129.0
Topher Davis,1604,35,5,30,1,94.03,100,186.0
Henry Babcock,4181,42,24,28,2,95.64,247,178.0
Chris Bartoli,820,19,1,27,11,90.48,192,52.0
Gustav Haflin,929,20,5,27,9,95.56,176,70.0
Nick Thompson,1769,26,12,23,2,94.68,165,119.0
Orion Cable,2011,22,17,19,6,90.67,145,137.0
Dean Bullock,639,5,1,14,11,92.86,168,43.0
Brendan McCann,1191,16,8,13,6,92.31,197,63.0
Eugene L'Heureux,852,10,3,12,6,90.7,152,57.0
Tannor Johnson-Go,2048,21,14,12,1,91.13,92,212.0
Ray Tetreault,621,9,2,11,4,96.43,83,89.0
Cole Davis-Brand,1540,17,10,10,1,92.92,92,167.0
Cam Wariner,295,4,4,10,6,100.0,73,62.0
Ian Engler,1990,11,12,9,1,97.58,91,230.0
Jake Taylor,1470,13,14,9,2,95.42,97,160.0
Ryan Woodhouse,227,2,0,9,8,91.67,110,27.0
Braden Eberhard,606,9,9,7,2,96.92,101,72.0
Anders Juengst,4826,84,30,76,4,96.3,287,199.0
