Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,SCR/POS %,BLK/PP %,PM/PP,Y/POS,HA/POS %
Austin Taylor,14,301,352,72,58,14,2,54,619,96.42,7753,5381,2372,63.35,31,18,0,2,0,33,78.57,0,297,4,340,hustle,2025,20.45,0.66,0.18,22.0,8.81
Adam Miller,13,284,324,68,43,25,1,52,469,96.3,5215,3253,1962,62.04,27,16,0,1,0,14,73.68,5,257,27,320,hustle,2025,20.99,0.35,0.18,16.0,8.33
Hayden Austin-Knab,14,297,343,59,37,22,5,45,431,95.35,5703,3393,2310,62.39,33,18,0,1,1,22,75.86,2,288,9,332,hustle,2025,17.2,1.68,0.15,17.0,9.62
Alec Wilson Holliday,13,163,188,45,7,38,4,43,102,94.44,2581,307,2274,65.96,15,6,0,0,0,2,100.00,0,162,1,185,hustle,2025,23.94,2.45,0.26,14.0,7.98
Brett Hulsmeyer,13,323,347,53,28,25,11,39,353,93.39,5561,1832,3729,61.67,32,22,1,3,0,8,47.06,8,245,78,354,hustle,2025,15.27,3.41,0.12,16.0,9.22
Karl Ekwurtzel,14,171,201,35,2,33,3,34,93,96.88,1786,-121,1907,62.19,9,3,0,1,0,0,--,0,161,10,212,hustle,2025,17.41,1.75,0.2,9.0,4.48
Jeremy Langdon,9,146,149,35,16,19,2,31,108,96.43,2121,816,1305,63.76,15,3,0,3,0,2,66.67,4,115,31,151,hustle,2025,23.49,1.37,0.21,14.0,10.07
Dean Ramsey,14,239,117,18,6,12,10,28,18,94.74,935,117,818,53.85,3,0,0,0,1,1,100.00,122,10,229,253,hustle,2025,15.38,4.18,0.12,8.0,2.56
Lukas McClamrock,12,190,95,18,12,6,16,24,104,89.66,1106,764,342,57.89,12,10,0,0,1,1,50.00,0,3,187,211,hustle,2025,18.95,8.42,0.13,12.0,12.63
Tyler Randall,14,260,128,17,7,10,10,23,77,96.25,796,347,449,55.47,9,3,0,1,0,2,100.00,0,0,260,282,hustle,2025,13.28,3.85,0.09,6.0,7.03
Cameron Brock,11,163,193,27,11,16,1,22,174,97.21,2209,894,1315,62.18,10,5,1,1,0,2,100.00,0,163,0,201,hustle,2025,13.99,0.61,0.13,11.0,5.18
Michael Fairley,9,163,84,15,9,6,10,20,58,92.06,931,579,352,53.57,2,5,0,0,1,6,85.71,109,7,156,175,hustle,2025,17.86,6.13,0.12,11.0,2.38
Sean Connole,10,164,187,24,8,16,4,18,136,93.79,1996,675,1321,58.82,10,9,0,1,0,4,80.00,0,133,31,193,hustle,2025,12.83,2.44,0.11,11.0,5.35
Michael Poe,6,84,34,8,2,6,6,14,17,94.44,465,133,332,67.65,3,0,0,0,0,1,100.00,0,0,84,81,hustle,2025,23.53,7.14,0.17,14.0,8.82
Christian Olsen,9,168,202,19,12,7,2,13,371,98.15,2684,2167,517,63.37,22,6,0,2,0,1,50.00,1,161,7,191,hustle,2025,9.41,1.19,0.08,13.0,10.89
Kennith Taylor,11,196,89,10,5,5,10,12,83,91.21,721,542,179,58.43,10,7,0,1,0,3,75.00,6,1,195,204,hustle,2025,11.24,5.1,0.06,8.0,11.24
Trip Crowley,7,64,42,8,0,8,2,10,13,100.0,223,-61,284,50.0,0,0,0,0,0,0,--,0,17,47,73,hustle,2025,19.05,3.12,0.16,5.0,0.0
Jakeem Polk,12,171,81,5,3,2,4,8,22,95.65,204,107,97,46.91,1,1,0,0,0,1,100.00,30,2,169,180,hustle,2025,6.17,2.34,0.05,3.0,1.23
Mike Kobyra,12,139,71,5,2,3,3,8,17,100.0,323,110,213,54.93,3,0,0,0,0,0,--,12,0,139,157,hustle,2025,7.04,2.16,0.06,5.0,4.23
