Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,CMP%_Z,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,team_avg_min,OVS,Value,Score
Austin Taylor,14,301,352,72,58,14,2,54,619,0.76,7753,5381,2372,63.35,31,18,0,2,0,33,78.57,0,297,4,340,hustle,2025,1.26,-1.15,1.22,2.64,1.03,210.0,1.448,1.368,1.741
Adam Miller,13,284,324,68,43,25,1,52,469,0.73,5215,3253,1962,62.04,27,16,0,1,0,14,73.68,5,257,27,320,hustle,2025,1.36,-1.28,1.22,1.26,0.88,210.0,1.089,1.135,1.401
Hayden Austin-Knab,14,297,343,59,37,22,5,45,431,0.54,5703,3393,2310,62.39,33,18,0,1,1,22,75.86,2,288,9,332,hustle,2025,0.67,-0.73,0.7,1.49,1.29,210.0,1.004,0.898,1.129
Alec Wilson Holliday,13,163,188,45,7,38,4,43,102,0.35,2581,307,2274,65.96,15,6,0,0,0,2,100.00,0,162,1,185,hustle,2025,1.89,-0.41,2.61,0.8,0.77,210.0,1.03,1.583,1.486
Brett Hulsmeyer,13,323,347,53,28,25,11,39,353,0.13,5561,1832,3729,61.67,32,22,1,3,0,8,47.06,8,245,78,354,hustle,2025,0.31,-0.02,0.18,1.26,1.17,210.0,0.726,0.535,0.695
Karl Ekwurtzel,14,171,201,35,2,33,3,34,93,0.85,1786,-121,1907,62.19,9,3,0,1,0,0,--,0,161,10,212,hustle,2025,0.7,-0.7,1.57,-0.36,-0.36,210.0,0.2,0.68,0.683
Jeremy Langdon,9,146,149,35,16,19,2,31,108,0.76,2121,816,1305,63.76,15,3,0,3,0,2,66.67,4,115,31,151,hustle,2025,1.81,-0.86,1.74,0.8,1.44,210.0,1.255,1.425,1.208
Dean Ramsey,14,239,117,18,6,12,10,28,18,0.41,935,117,818,53.85,3,0,0,0,1,1,100.00,122,10,229,253,hustle,2025,0.33,0.3,0.18,-0.59,-0.98,210.0,-0.211,-0.074,-0.081
Lukas McClamrock,12,190,95,18,12,6,16,24,104,-0.63,1106,764,342,57.89,12,10,0,0,1,1,50.00,0,3,187,211,hustle,2025,0.98,2.04,0.35,0.34,2.26,210.0,0.818,0.654,0.656
Tyler Randall,14,260,128,17,7,10,10,23,77,0.72,796,347,449,55.47,9,3,0,1,0,2,100.00,0,0,260,282,hustle,2025,-0.05,0.16,-0.34,-1.05,0.46,210.0,-0.019,-0.131,-0.152
Cameron Brock,11,163,193,27,11,16,1,22,174,0.92,2209,894,1315,62.18,10,5,1,1,0,2,100.00,0,163,0,201,hustle,2025,0.08,-1.17,0.35,0.11,-0.13,210.0,0.203,0.254,0.248
Michael Fairley,9,163,84,15,9,6,10,20,58,-0.14,931,579,352,53.57,2,5,0,0,1,6,85.71,109,7,156,175,hustle,2025,0.79,1.1,0.18,0.11,-1.04,210.0,-0.024,0.047,0.043
Sean Connole,10,164,187,24,8,16,4,18,136,0.22,1996,675,1321,58.82,10,9,0,1,0,4,80.00,0,133,31,193,hustle,2025,-0.13,-0.42,0.01,0.11,-0.08,210.0,0.013,0.012,0.012
Michael Poe,6,84,34,8,2,6,6,14,17,0.35,465,133,332,67.65,3,0,0,0,0,1,100.00,0,0,84,81,hustle,2025,1.82,1.52,1.05,0.8,1.04,210.0,1.076,1.067,0.663
Christian Olsen,9,168,202,19,12,7,2,13,371,1.11,2684,2167,517,63.37,22,6,0,2,0,1,50.00,1,161,7,191,hustle,2025,-0.75,-0.93,-0.52,0.57,1.7,210.0,0.564,0.185,0.176
Kennith Taylor,11,196,89,10,5,5,10,12,83,-0.32,721,542,179,58.43,10,7,0,1,0,3,75.00,6,1,195,204,hustle,2025,-0.42,0.68,-0.86,-0.59,1.82,210.0,0.118,-0.224,-0.221
Trip Crowley,7,64,42,8,0,8,2,10,13,1.49,223,-61,284,50.0,0,0,0,0,0,0,--,0,17,47,73,hustle,2025,1.0,-0.14,0.87,-1.28,-1.8,210.0,-0.172,0.193,0.114
