Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,Offensive_Value,Score
Allan Laviolette,11,229,284,89,67,22,6,77,393,94.93,5660,3954,1706,58.1,15,16,0,2,0,32,86.49,0,228,1,261,flyers,2025,23.59,7.75,31.34,1.38,2.62,0.34,14.0,6.0,20.0,5.28,5.63,14.4,175.0,0.55,0.07,0.27,19.78,0.16,1.38,0.34,0.2,0.12,13.77,6.01,0.34,-0.43,-0.86,2.41,2.24,-0.76,1.56,-0.01,-0.71,-0.72,0.11,2.55,0.84,-0.24,1.89,2.308
Austin Taylor,14,301,352,72,58,14,2,54,619,96.42,7753,5381,2372,63.35,31,18,0,2,0,33,78.57,0,297,4,340,hustle,2025,16.48,3.98,20.45,1.76,0.66,0.18,15.0,7.0,22.0,8.81,5.11,12.53,210.0,0.4,0.05,0.15,21.87,0.17,1.75,0.25,0.14,0.11,15.14,6.73,0.27,-0.71,-1.01,0.47,2.75,-0.71,2.51,-0.4,-0.92,-0.78,0.4,2.95,1.39,-0.44,1.64,2.087
Daan De Marrée,10,215,251,78,33,45,19,83,273,95.79,5168,1933,3235,59.36,29,11,0,3,0,5,55.56,4,157,58,233,union,2025,13.15,17.93,31.08,1.09,8.84,0.39,8.0,13.0,21.0,11.55,4.38,18.93,166.0,0.58,0.13,0.32,20.4,0.23,1.09,0.25,0.31,0.12,7.65,12.75,0.41,-0.37,-0.4,3.22,2.39,-0.45,0.82,-0.4,-0.31,-0.72,2.76,0.8,0.97,0.24,1.76,2.085
John Randolph,13,308,300,70,40,30,6,66,395,96.81,5139,2827,2312,59.0,30,10,0,0,0,11,73.33,0,218,90,339,empire,2025,13.33,10.0,23.33,1.32,1.95,0.21,9.0,8.0,17.0,10.0,3.33,13.01,213.0,0.46,0.07,0.22,17.03,0.2,1.31,0.23,0.21,0.1,9.35,7.68,0.32,-0.59,-0.86,1.6,1.57,-0.58,1.39,-0.48,-0.67,-0.85,0.77,1.28,0.93,-0.39,1.47,1.855
Pawel Janas,10,156,132,32,29,3,1,28,228,95.4,1887,1550,337,61.36,13,5,0,0,0,4,44.44,71,33,123,182,union,2025,21.97,2.27,24.24,1.73,0.64,0.18,12.0,3.0,14.0,9.85,3.79,8.28,166.0,0.74,0.12,0.2,14.18,0.31,1.7,0.43,0.28,0.18,11.5,2.68,0.68,-0.08,-0.48,1.28,0.87,-0.11,2.38,0.38,-0.42,-0.33,-1.2,1.9,1.18,-0.9,1.5,1.571
Scott Heyman,10,207,247,62,39,23,6,49,304,93.25,5644,3113,2531,54.25,27,18,1,1,0,22,81.48,0,198,9,234,phoenix,2025,15.79,9.31,25.1,1.23,2.9,0.24,13.0,10.0,23.0,10.93,7.29,18.57,179.0,0.52,0.08,0.19,22.62,0.23,1.23,0.27,0.23,0.15,12.45,10.16,0.41,-0.48,-0.78,1.11,2.93,-0.45,1.18,-0.31,-0.6,-0.52,1.74,2.17,0.43,0.2,1.37,1.566
Benjamin Sadok,13,226,283,44,30,14,4,35,455,97.01,5349,4216,1133,58.66,21,13,0,0,0,15,78.95,0,226,0,281,glory,2025,10.6,4.95,15.55,1.61,1.77,0.15,15.0,4.0,19.0,7.42,4.59,11.76,209.0,0.4,0.07,0.12,18.76,0.18,1.6,0.21,0.17,0.11,14.73,4.04,0.34,-0.71,-0.86,-0.02,1.99,-0.67,2.13,-0.57,-0.81,-0.78,-0.66,2.83,0.9,-0.52,1.35,1.565
Tobe Decraene,14,267,323,91,50,41,4,72,406,94.42,6502,2230,4272,56.04,25,20,0,3,0,7,63.64,1,248,19,327,glory,2025,15.48,12.69,28.17,1.26,1.5,0.27,7.0,13.0,20.0,7.74,6.19,16.01,209.0,0.49,0.06,0.22,19.99,0.17,1.25,0.24,0.23,0.12,6.88,13.12,0.31,-0.54,-0.93,1.6,2.29,-0.71,1.23,-0.44,-0.6,-0.72,2.91,0.58,0.62,-0.07,1.21,1.514
Walker Frankenberg,12,247,295,84,43,41,4,66,349,94.07,6884,2916,3968,64.07,31,21,0,1,0,7,87.50,0,245,2,248,spiders,2025,14.58,13.9,28.47,1.18,1.62,0.27,10.0,13.0,23.0,10.51,7.12,19.72,204.0,0.51,0.06,0.22,23.13,0.2,1.18,0.24,0.25,0.14,9.8,13.33,0.35,-0.5,-0.93,1.6,3.06,-0.58,1.05,-0.44,-0.52,-0.59,2.99,1.41,1.47,0.33,1.32,1.455
Tannor Johnson-Go,11,192,130,37,25,12,14,43,211,96.35,2357,1113,1244,56.92,11,7,0,1,0,2,40.00,119,28,164,241,glory,2025,19.23,9.23,28.46,1.62,7.29,0.22,9.0,10.0,18.0,8.46,5.38,11.17,209.0,0.79,0.21,0.32,17.87,0.3,1.6,0.41,0.35,0.2,8.43,9.44,0.71,0.01,0.2,3.22,1.77,-0.15,2.13,0.29,-0.16,-0.2,1.46,1.02,0.71,-0.59,1.34,1.439
Andrew Roy,13,256,310,44,25,19,3,32,641,97.71,5563,4402,1161,53.87,30,14,0,1,0,7,70.00,0,253,3,317,breeze,2025,8.06,6.13,14.19,2.07,1.17,0.12,14.0,4.0,18.0,9.68,4.52,8.68,202.0,0.36,0.06,0.1,17.83,0.19,2.05,0.17,0.17,0.11,14.05,3.78,0.3,-0.78,-0.93,-0.34,1.76,-0.63,3.28,-0.74,-0.81,-0.78,-0.76,2.63,0.39,-0.85,1.11,1.391
Sean Mott,12,257,309,62,46,16,3,38,525,94.09,6486,4293,2193,52.1,33,23,0,4,0,19,55.88,4,250,7,289,phoenix,2025,14.89,5.18,20.06,1.7,1.17,0.15,14.0,7.0,21.0,10.68,7.44,12.35,179.0,0.42,0.06,0.12,20.83,0.2,1.69,0.24,0.16,0.14,13.75,7.08,0.31,-0.67,-0.93,-0.02,2.5,-0.58,2.36,-0.44,-0.85,-0.59,0.53,2.55,0.2,-0.46,1.06,1.347
Sam Grossberg,9,194,223,41,21,20,2,30,422,96.13,4392,3027,1365,56.05,21,12,0,1,0,7,53.85,0,185,9,219,phoenix,2025,9.42,8.97,18.39,1.89,1.03,0.15,14.0,6.0,20.0,9.42,5.38,10.41,179.0,0.49,0.07,0.13,19.5,0.22,1.87,0.22,0.24,0.14,13.39,6.12,0.42,-0.54,-0.86,0.14,2.17,-0.5,2.82,-0.53,-0.56,-0.59,0.16,2.44,0.62,-0.67,1.21,1.338
Jordan Kerr,14,276,332,70,50,20,5,60,285,94.68,4849,2674,2175,61.45,23,12,0,3,0,15,75.00,0,271,5,274,shred,2025,15.06,6.02,21.08,0.86,1.81,0.22,8.0,7.0,15.0,6.93,3.61,17.01,214.0,0.42,0.06,0.18,14.55,0.16,0.86,0.24,0.16,0.09,8.01,6.54,0.3,-0.67,-0.93,0.95,0.96,-0.76,0.23,-0.44,-0.85,-0.91,0.32,0.9,1.19,0.04,1.15,1.301
