Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,Offensive_Value,Score,team_avg_scr
Brett Hulsmeyer,13,306,296,57,27,30,18,53,302,94.08,5232,1653,3579,59.46,21,17,0,5,0,5,62.50,9,203,103,330,hustle,2023,9.12,10.14,19.26,1.02,5.88,0.17,6.0,12.0,18.0,7.09,5.74,17.32,195.0,0.42,0.11,0.18,17.55,0.15,1.02,0.19,0.22,0.14,5.57,11.99,0.32,4.24,-0.7,-0.57,1.07,1.83,-0.75,0.62,-0.67,-0.67,-0.75,2.48,0.22,1.15,0.16,-0.82,0.45,0.585,0.3
Matt Smith,12,187,228,54,12,42,0,53,157,97.52,3383,825,2558,65.35,12,1,0,0,0,1,100.00,0,185,2,226,hustle,2023,5.26,18.42,23.68,0.69,0.0,0.28,4.0,11.0,15.0,5.26,0.44,21.55,195.0,0.53,0.06,0.23,14.73,0.16,0.7,0.18,0.33,0.11,3.65,11.11,0.44,5.03,-0.48,-0.98,1.95,1.11,-0.69,-0.17,-0.72,-0.23,-0.92,2.13,-0.35,1.85,0.79,-0.7,1.33,1.432,0.3
Dean Ramsey,13,243,215,32,12,20,13,43,40,93.02,1733,235,1498,58.6,6,2,0,0,0,0,--,111,116,127,263,hustle,2023,5.58,9.3,14.88,0.19,5.35,0.18,1.0,7.0,8.0,2.79,0.93,43.32,195.0,0.46,0.13,0.2,8.1,0.14,0.2,0.19,0.25,0.12,1.18,6.95,0.56,5.49,-0.62,-0.4,1.42,-0.59,-0.81,-1.4,-0.67,-0.55,-0.86,0.52,-1.07,1.04,4.01,-0.64,0.22,0.255,0.3
Justin Burnett,11,191,121,18,9,9,21,32,44,89.8,960,305,655,47.93,4,5,1,2,0,2,66.67,1,3,188,199,hustle,2023,7.44,7.44,14.88,0.36,10.99,0.17,3.0,5.0,8.0,3.31,4.13,21.82,195.0,0.7,0.29,0.25,8.02,0.23,0.39,0.31,0.35,0.24,2.62,5.44,0.81,9.08,-0.14,0.91,2.3,-0.61,-0.29,-0.93,-0.12,-0.15,-0.18,-0.07,-0.65,-0.24,0.83,-0.12,-0.3,-0.303,0.3
Austin Taylor,13,267,323,53,44,9,0,31,510,95.15,5358,4217,1141,60.06,38,21,0,1,0,27,75.00,1,258,9,313,hustle,2023,13.62,2.79,16.41,1.58,0.0,0.12,13.0,4.0,17.0,11.76,6.5,10.51,195.0,0.38,0.05,0.09,16.49,0.19,1.57,0.23,0.13,0.14,12.93,3.57,0.28,3.84,-0.78,-1.06,-0.51,1.56,-0.52,1.98,-0.49,-1.03,-0.75,-0.8,2.39,1.22,-0.85,-0.87,0.98,1.242,0.3
Bobby Ley,13,259,314,48,39,9,3,28,460,94.85,4688,3582,1106,60.51,25,23,0,0,0,28,77.78,0,259,0,303,hustle,2023,12.42,2.87,15.29,1.46,1.16,0.11,11.0,4.0,15.0,7.96,7.32,10.19,195.0,0.37,0.06,0.09,14.85,0.16,1.46,0.22,0.14,0.15,11.31,3.56,0.28,3.91,-0.8,-0.98,-0.51,1.14,-0.69,1.71,-0.53,-0.99,-0.69,-0.8,1.91,1.27,-0.89,-0.86,0.49,0.611,0.3
Liam Haberfield,8,144,167,31,18,13,3,28,195,97.01,2438,1390,1048,60.48,13,5,0,1,0,6,75.00,0,138,6,165,hustle,2023,10.78,7.78,18.56,1.17,2.08,0.19,8.0,6.0,15.0,7.78,2.99,12.5,195.0,0.59,0.1,0.16,14.47,0.22,1.16,0.28,0.28,0.17,8.23,6.27,0.54,6.45,-0.36,-0.65,0.72,1.04,-0.35,0.97,-0.26,-0.43,-0.58,0.25,1.0,1.27,-0.55,-0.5,1.12,1.03,0.3
Christian Olsen,13,228,272,35,13,22,3,26,391,97.51,3634,2442,1192,62.5,31,10,1,2,0,3,75.00,0,211,17,282,hustle,2023,4.78,8.09,12.87,1.44,1.32,0.11,9.0,4.0,13.0,11.4,3.68,9.29,195.0,0.38,0.06,0.09,13.3,0.2,1.43,0.16,0.21,0.13,8.91,4.41,0.32,4.43,-0.78,-0.98,-0.51,0.74,-0.46,1.64,-0.81,-0.71,-0.8,-0.47,1.2,1.51,-1.03,-0.79,1.02,1.227,0.3
Max Thorne,8,131,158,28,12,16,1,26,170,98.84,2296,1228,1068,63.92,16,2,0,1,0,4,80.00,0,130,1,156,hustle,2023,7.59,10.13,17.72,1.08,0.76,0.2,8.0,7.0,15.0,10.13,1.27,13.51,195.0,0.6,0.1,0.16,14.39,0.25,1.07,0.26,0.31,0.17,7.69,6.74,0.57,6.75,-0.34,-0.65,0.72,1.02,-0.18,0.75,-0.35,-0.31,-0.58,0.44,0.84,1.68,-0.4,-0.46,1.31,1.172,0.3
Jeremy Langdon,10,170,148,26,15,11,7,24,103,93.64,1758,634,1124,53.38,9,7,1,2,0,3,75.00,4,69,101,193,hustle,2023,10.14,7.43,17.57,0.7,4.12,0.14,4.0,8.0,12.0,6.08,4.73,17.07,195.0,0.63,0.14,0.16,11.82,0.22,0.71,0.29,0.3,0.21,4.31,7.54,0.63,7.44,-0.28,-0.32,0.72,0.36,-0.35,-0.14,-0.21,-0.35,-0.35,0.75,-0.15,0.42,0.13,-0.36,0.1,0.099,0.3
JP Burns,13,251,168,29,21,8,4,23,99,90.0,1512,1038,474,52.38,11,10,0,0,0,9,60.00,10,22,229,273,hustle,2023,12.5,4.76,17.26,0.59,1.59,0.09,6.0,3.0,9.0,6.55,5.95,15.27,195.0,0.57,0.11,0.13,9.03,0.21,0.6,0.29,0.25,0.2,6.14,2.91,0.55,7.04,-0.4,-0.57,0.19,-0.35,-0.4,-0.41,-0.21,-0.55,-0.41,-1.05,0.39,0.3,-0.14,-0.42,0.02,0.024,0.3
Lukas McClamrock,6,81,98,18,2,16,5,16,60,90.91,843,267,576,59.18,12,6,0,1,0,0,--,0,70,11,97,hustle,2023,2.04,16.33,18.37,0.61,6.17,0.2,3.0,6.0,9.0,12.24,6.12,14.05,195.0,0.85,0.19,0.16,8.67,0.36,0.63,0.31,0.5,0.3,2.83,5.88,0.91,10.12,0.16,0.09,0.72,-0.44,0.46,-0.34,-0.12,0.45,0.16,0.1,-0.59,1.11,-0.32,0.02,0.24,0.169,0.3
Trip Crowley,5,76,81,15,3,12,2,14,23,85.19,661,28,633,54.32,2,3,0,0,0,0,--,0,58,18,79,hustle,2023,3.7,14.81,18.52,0.28,2.63,0.18,0.0,8.0,8.0,2.47,3.7,28.74,195.0,0.99,0.2,0.16,8.27,0.31,0.33,0.38,0.55,0.33,0.62,7.71,1.26,11.91,0.44,0.17,0.72,-0.54,0.17,-1.08,0.2,0.65,0.33,0.81,-1.24,0.53,1.85,0.28,-0.29,-0.185,0.3
Bradley Seuntjens,11,186,111,6,2,4,9,13,49,94.23,462,157,305,51.35,6,2,0,0,0,0,--,1,0,186,215,hustle,2023,1.8,3.6,5.41,0.44,4.84,0.07,1.0,3.0,4.0,5.41,1.8,9.43,195.0,0.66,0.21,0.11,4.41,0.27,0.47,0.28,0.34,0.23,1.57,2.89,0.77,10.0,-0.22,0.26,-0.16,-1.53,-0.06,-0.73,-0.26,-0.19,-0.24,-1.06,-0.96,0.17,-1.01,0.01,-0.17,-0.179,0.3
Jakeem Polk,12,183,119,12,2,10,6,12,16,84.21,555,-13,568,55.46,0,3,0,3,0,0,--,81,3,180,210,hustle,2023,1.68,8.4,10.08,0.13,3.28,0.07,-0.0,5.0,5.0,0.0,2.52,34.69,195.0,0.66,0.17,0.1,4.88,0.2,0.17,0.26,0.36,0.23,0.1,4.82,0.92,9.31,-0.22,-0.07,-0.34,-1.41,-0.46,-1.47,-0.35,-0.11,-0.24,-0.31,-1.39,0.67,2.73,-0.09,-0.68,-0.706,0.3
Kennith Taylor,7,111,85,9,5,4,6,12,53,96.36,692,299,393,63.53,5,2,0,1,0,1,50.00,0,25,86,129,hustle,2023,5.88,4.71,10.59,0.62,5.41,0.11,4.0,5.0,8.0,5.88,2.35,13.06,195.0,0.88,0.23,0.13,8.24,0.33,0.64,0.39,0.43,0.3,3.6,4.7,1.03,11.93,0.22,0.42,0.19,-0.55,0.28,-0.31,0.24,0.17,0.16,-0.36,-0.36,1.64,-0.47,0.28,0.02,0.016,0.3
Tanner Robinson,7,94,72,11,5,6,5,10,35,85.37,376,150,226,47.22,3,5,0,1,0,0,--,1,1,93,108,hustle,2023,6.94,8.33,15.28,0.49,5.32,0.11,2.0,3.0,5.0,4.17,6.94,10.74,195.0,1.05,0.26,0.13,5.53,0.36,0.52,0.45,0.53,0.39,2.27,3.32,1.18,13.68,0.56,0.67,0.19,-1.25,0.46,-0.61,0.52,0.57,0.67,-0.89,-0.75,-0.32,-0.81,0.53,-0.82,-0.61,0.3
Bradley Fleming,10,104,64,7,4,3,3,9,28,96.55,287,134,153,50.0,1,1,0,0,1,0,--,0,0,104,134,hustle,2023,6.25,4.69,10.94,0.44,2.88,0.09,2.0,2.0,4.0,1.56,1.56,10.25,195.0,1.12,0.26,0.13,4.88,0.38,0.48,0.49,0.55,0.38,2.3,2.65,1.31,15.64,0.7,0.67,0.19,-1.41,0.57,-0.71,0.7,0.65,0.61,-1.15,-0.74,0.01,-0.88,0.81,-0.3,-0.249,0.3
Mischa Freystaetter,5,85,79,10,8,2,3,9,48,94.12,1167,368,799,48.1,5,3,0,1,0,0,0.00,0,53,32,96,hustle,2023,10.13,2.53,12.66,0.61,3.53,0.11,5.0,10.0,15.0,6.33,3.8,24.31,195.0,0.95,0.21,0.11,14.49,0.36,0.63,0.45,0.44,0.33,4.68,9.87,1.24,12.39,0.36,0.26,-0.16,1.05,0.46,-0.34,0.52,0.21,0.33,1.65,-0.04,-0.22,1.2,0.35,0.08,0.056,0.3
Tyler Randall,7,106,57,7,2,5,3,9,39,97.5,360,166,194,54.39,6,1,0,0,0,1,100.00,0,0,106,120,hustle,2023,3.51,8.77,12.28,0.68,2.83,0.08,3.0,3.0,6.0,10.53,1.75,9.23,195.0,1.24,0.29,0.15,6.61,0.5,0.71,0.52,0.65,0.42,3.08,3.61,1.44,17.18,0.94,0.91,0.54,-0.97,1.26,-0.14,0.84,1.04,0.84,-0.78,-0.51,0.54,-1.04,1.03,0.41,0.322,0.3
Evan Swiatek,15,346,423,86,37,49,9,77,315,93.75,6065,1872,4193,50.83,28,13,1,5,0,11,84.62,0,295,51,369,sol,2023,8.75,11.58,20.33,0.74,2.6,0.22,4.0,10.0,14.0,6.62,3.07,19.25,233.0,0.36,0.06,0.18,14.29,0.12,0.75,0.16,0.2,0.09,4.43,9.87,0.23,3.07,-0.82,-0.98,1.07,1.0,-0.92,-0.04,-0.81,-0.75,-1.03,1.65,-0.12,0.11,0.45,-0.98,0.75,0.944,-0.006
Joey Wylie,15,323,273,37,13,24,18,45,156,95.12,2750,954,1796,50.92,17,6,1,4,0,0,0.00,1,82,241,364,sol,2023,4.76,8.79,13.55,0.57,5.57,0.14,3.0,7.0,10.0,6.23,2.2,17.63,233.0,0.38,0.12,0.16,10.07,0.15,0.58,0.15,0.21,0.11,3.52,6.57,0.35,4.71,-0.78,-0.49,0.72,-0.08,-0.75,-0.46,-0.85,-0.71,-0.92,0.37,-0.38,0.12,0.21,-0.75,0.41,0.512,-0.006
Kyle Henke,15,353,417,64,27,37,9,40,302,91.24,5741,2148,3593,49.64,31,25,0,8,1,10,38.46,5,299,54,360,sol,2023,6.47,8.87,15.35,0.72,2.55,0.11,5.0,9.0,14.0,7.43,6.0,19.01,233.0,0.32,0.06,0.09,13.72,0.13,0.73,0.14,0.17,0.12,5.15,8.59,0.23,3.09,-0.9,-0.98,-0.51,0.85,-0.86,-0.09,-0.9,-0.87,-0.86,1.15,0.1,-0.03,0.41,-0.98,0.08,0.099,-0.006
Mark Evans,14,314,394,60,36,24,8,35,313,90.72,5939,2704,3235,49.49,28,26,4,7,0,29,72.50,1,308,6,323,sol,2023,9.14,6.09,15.23,0.79,2.55,0.11,7.0,8.0,15.0,7.11,6.6,18.97,233.0,0.33,0.06,0.09,15.01,0.13,0.8,0.17,0.15,0.13,6.84,8.18,0.25,3.18,-0.88,-0.98,-0.51,1.18,-0.86,0.08,-0.76,-0.95,-0.8,0.99,0.59,-0.05,0.41,-0.97,0.04,0.047,-0.006
Duncan Fitzgerald,14,315,389,61,39,22,8,31,567,92.8,5154,4018,1136,49.36,31,37,1,1,0,18,75.00,0,299,16,325,sol,2023,10.03,5.66,15.68,1.46,2.54,0.1,10.0,3.0,13.0,7.97,9.51,9.09,233.0,0.33,0.06,0.08,13.21,0.14,1.45,0.18,0.14,0.16,10.26,2.96,0.23,3.22,-0.88,-0.98,-0.69,0.72,-0.81,1.69,-0.72,-0.99,-0.63,-1.03,1.6,-0.06,-1.06,-0.96,-0.05,-0.059,-0.006
Mark Henke,15,216,149,25,7,18,8,31,56,98.25,1112,308,804,53.69,10,1,0,1,0,0,--,0,13,203,248,sol,2023,4.7,12.08,16.78,0.38,3.7,0.14,2.0,5.0,7.0,6.71,0.67,19.86,233.0,0.62,0.15,0.2,7.55,0.23,0.4,0.24,0.34,0.17,2.16,5.42,0.65,7.75,-0.3,-0.24,1.42,-0.73,-0.29,-0.91,-0.44,-0.19,-0.58,-0.08,-0.79,0.46,0.54,-0.31,0.61,0.629,-0.006
Reese Bowman,15,255,207,30,15,15,8,28,114,91.94,1939,881,1058,49.28,5,10,0,0,1,4,50.00,29,67,188,265,sol,2023,7.25,7.25,14.49,0.55,3.14,0.11,4.0,5.0,9.0,2.42,4.83,17.01,233.0,0.47,0.11,0.13,9.38,0.14,0.56,0.21,0.24,0.17,4.27,5.13,0.46,5.71,-0.6,-0.57,0.19,-0.26,-0.81,-0.51,-0.58,-0.59,-0.58,-0.19,-0.16,-0.07,0.12,-0.61,-0.3,-0.32,-0.006
Eric Brodbeck,15,222,212,28,9,19,9,27,129,92.14,1917,776,1141,53.77,11,10,0,0,0,5,71.43,2,94,128,261,sol,2023,4.25,8.96,13.21,0.61,4.05,0.12,4.0,5.0,9.0,5.19,4.72,14.86,233.0,0.45,0.11,0.12,9.06,0.17,0.62,0.18,0.25,0.16,3.69,5.4,0.44,5.56,-0.64,-0.57,0.01,-0.34,-0.63,-0.36,-0.72,-0.55,-0.63,-0.09,-0.33,0.46,-0.2,-0.63,-0.06,-0.064,-0.006
Elliott Moore,13,200,158,29,23,6,7,22,135,90.0,1720,1115,605,53.8,7,14,1,0,0,3,42.86,10,26,174,235,sol,2023,14.56,3.8,18.35,0.85,3.5,0.11,7.0,4.0,11.0,4.43,8.86,12.74,233.0,0.61,0.13,0.13,10.86,0.2,0.86,0.33,0.25,0.24,6.99,3.9,0.57,7.24,-0.32,-0.4,0.19,0.12,-0.46,0.23,-0.03,-0.55,-0.18,-0.67,0.64,0.47,-0.52,-0.39,-0.45,-0.452,-0.006
Noah Chambers,13,234,303,25,8,17,1,21,84,93.33,2115,560,1555,48.18,8,3,0,2,0,2,100.00,0,224,10,247,sol,2023,2.64,5.61,8.25,0.28,0.43,0.09,2.0,5.0,7.0,2.64,0.99,25.18,233.0,0.31,0.05,0.07,7.03,0.11,0.29,0.12,0.17,0.09,1.9,5.15,0.34,3.87,-0.92,-1.06,-0.87,-0.86,-0.98,-1.18,-0.99,-0.87,-1.03,-0.18,-0.86,-0.21,1.33,-0.87,-0.03,-0.031,-0.006
Oliver Fay,13,231,156,18,8,10,9,21,54,90.0,1148,263,885,48.72,9,5,0,1,0,0,0.00,84,35,196,238,sol,2023,5.13,6.41,11.54,0.35,3.9,0.09,2.0,6.0,7.0,5.77,3.21,21.26,233.0,0.55,0.15,0.13,7.44,0.21,0.37,0.24,0.28,0.19,1.79,5.68,0.63,7.35,-0.44,-0.24,0.19,-0.76,-0.4,-0.98,-0.44,-0.43,-0.46,0.02,-0.89,-0.14,0.75,-0.37,-0.23,-0.232,-0.006
