Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP%_Z,AST_Z,GLS_Z,CMP_Z,T_Z,RY_Z,TY_Z,Y/CMP_Z,team_avg_min,OVS,Value,Score,OEFF_Z,Offensive_Value,Final Score
Austin Taylor,14,301,352,72,58,14,2,54,619,96.42,7753,5381,2372,63.35,31,18,0,2,0,33,78.57,0,297,4,340,hustle,2025,16.48,3.98,20.45,1.76,0.66,0.18,15.0,7.0,22.0,8.81,5.11,1252.5,1.26,-1.15,1.22,2.64,1.03,0.76,2.37,-0.77,2.44,0.21,0.48,2.77,-0.44,210.0,1.448,1.368,1.741,1.39,1.21,1.54
Adam Miller,13,284,324,68,43,25,1,52,469,96.3,5215,3253,1962,62.04,27,16,0,1,0,14,73.68,5,257,27,320,hustle,2025,13.27,7.72,20.99,1.45,0.35,0.18,10.0,6.0,16.0,8.33,4.94,1111.94,1.36,-1.28,1.22,1.26,0.88,0.73,1.61,0.15,1.69,0.16,0.12,1.4,-0.59,210.0,1.089,1.135,1.401,1.25,1.04,1.284
Hayden Austin-Knab,14,297,343,59,37,22,5,45,431,95.35,5703,3393,2310,62.39,33,18,0,1,1,22,75.86,2,288,9,332,hustle,2025,10.79,6.41,17.2,1.26,1.68,0.15,10.0,7.0,17.0,9.62,5.25,1323.2,0.67,-0.73,0.7,1.49,1.29,0.54,1.03,-0.17,1.23,0.26,0.48,1.4,-0.37,210.0,1.004,0.898,1.129,1.29,0.78,0.981
Alec Wilson Holliday,13,163,188,45,7,38,4,43,102,94.44,2581,307,2274,65.96,15,6,0,0,0,2,100.00,0,162,1,185,hustle,2025,3.72,20.21,23.94,0.54,2.45,0.26,2.0,12.0,14.0,7.98,3.19,2530.39,1.89,-0.41,2.61,0.8,0.77,0.35,-0.64,3.22,-0.51,-0.42,2.32,-0.78,0.92,210.0,1.03,1.583,1.486,1.67,1.1,1.032
Brett Hulsmeyer,13,323,347,53,28,25,11,39,353,93.39,5561,1832,3729,61.67,32,22,1,3,0,8,47.06,8,245,78,354,hustle,2025,8.07,7.2,15.27,1.02,3.41,0.12,5.0,11.0,16.0,9.22,6.34,1575.35,0.31,-0.02,0.18,1.26,1.17,0.13,0.39,0.02,0.65,0.62,1.95,0.04,-0.1,210.0,0.726,0.535,0.695,1.21,0.29,0.377
Karl Ekwurtzel,14,171,201,35,2,33,3,34,93,96.88,1786,-121,1907,62.19,9,3,0,1,0,0,--,0,161,10,212,hustle,2025,1.0,16.42,17.41,0.46,1.75,0.2,-1.0,9.0,9.0,4.48,1.49,1920.43,0.7,-0.7,1.57,-0.36,-0.36,0.85,-1.28,2.28,-0.71,-0.98,1.22,-1.6,0.27,210.0,0.2,0.68,0.683,1.27,0.33,0.332
Jeremy Langdon,9,146,149,35,16,19,2,31,108,96.43,2121,816,1305,63.76,15,3,0,3,0,2,66.67,4,115,31,151,hustle,2025,10.74,12.75,23.49,0.72,1.37,0.21,5.0,9.0,14.0,10.07,2.01,1963.89,1.81,-0.86,1.74,0.8,1.44,0.76,1.02,1.38,-0.08,-0.81,1.22,0.04,0.32,210.0,1.255,1.425,1.208,1.43,1.57,1.331
Dean Ramsey,14,239,117,18,6,12,10,28,18,94.74,935,117,818,53.85,3,0,0,0,1,1,100.00,122,10,229,253,hustle,2025,5.13,10.26,15.38,0.15,4.18,0.12,1.0,7.0,8.0,2.56,0.0,5194.44,0.33,0.3,0.18,-0.59,-0.98,0.41,-0.31,0.77,-1.46,-1.48,0.48,-1.05,3.78,210.0,-0.211,-0.074,-0.081,0.39,0.26,0.285
Lukas McClamrock,12,190,95,18,12,6,16,24,104,89.66,1106,764,342,57.89,12,10,0,0,1,1,50.00,0,3,187,211,hustle,2025,12.63,6.32,18.95,1.09,8.42,0.13,8.0,4.0,12.0,12.63,10.53,1063.46,0.98,2.04,0.35,0.34,2.26,-0.63,1.46,-0.2,0.82,2.01,-0.62,0.86,-0.64,210.0,0.818,0.654,0.656,0.81,0.53,0.531
Tyler Randall,14,260,128,17,7,10,10,23,77,96.25,796,347,449,55.47,9,3,0,1,0,2,100.00,0,0,260,282,hustle,2025,5.47,7.81,13.28,0.6,3.85,0.09,3.0,4.0,6.0,7.03,2.34,1033.77,-0.05,0.16,-0.34,-1.05,0.46,0.72,-0.22,0.17,-0.37,-0.7,-0.62,-0.51,-0.68,210.0,-0.019,-0.131,-0.152,0.56,0.3,0.348
Cameron Brock,11,163,193,27,11,16,1,22,174,97.21,2209,894,1315,62.18,10,5,1,1,0,2,100.00,0,163,0,201,hustle,2025,5.7,8.29,13.99,0.9,0.61,0.13,5.0,7.0,11.0,5.18,2.59,1269.54,0.08,-1.17,0.35,0.11,-0.13,0.92,-0.17,0.29,0.36,-0.62,0.48,0.04,-0.42,210.0,0.203,0.254,0.248,1.27,0.22,0.215
Michael Fairley,9,163,84,15,9,6,10,20,58,92.06,931,579,352,53.57,2,5,0,0,1,6,85.71,109,7,156,175,hustle,2025,10.71,7.14,17.86,0.69,6.13,0.12,7.0,4.0,11.0,2.38,5.95,1605.17,0.79,1.1,0.18,0.11,-1.04,-0.14,1.01,0.0,-0.15,0.49,-0.62,0.58,-0.07,210.0,-0.024,0.047,0.043,0.36,-0.03,-0.027
Sean Connole,10,164,187,24,8,16,4,18,136,93.79,1996,675,1321,58.82,10,9,0,1,0,4,80.00,0,133,31,193,hustle,2025,4.28,8.56,12.83,0.73,2.44,0.11,4.0,7.0,11.0,5.35,4.81,1467.65,-0.13,-0.42,0.01,0.11,-0.08,0.22,-0.51,0.35,-0.05,0.12,0.48,-0.24,-0.21,210.0,0.013,0.012,0.012,0.91,-0.18,-0.173
