Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,SCR_Z,BLK_Z,PM_Z,Y/CMP_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,Offensive_Value,Score
Austin Taylor,14,301,352,72,58,14,2,54,619,96.42,7753,5381,2372,63.35,31,18,0,2,0,33,78.57,0,297,4,340,hustle,2025,210.0,0.51,0.08,0.42,47.43,0.23,3.58,0.32,0.19,0.16,27.36,20.09,2.82,-0.81,2.5,3.77,2.46,3.91,4.25,0.29,1.42,1.73,4.53,1.39,1.94,2.468
Adam Miller,13,284,324,68,43,25,1,52,469,96.3,5215,3253,1962,62.04,27,16,0,1,0,14,73.68,5,257,27,320,hustle,2025,210.0,0.54,0.08,0.45,43.75,0.23,3.43,0.3,0.24,0.17,23.22,20.55,2.59,-1.04,2.36,2.15,2.0,2.7,2.89,1.44,1.15,1.23,2.39,1.25,1.29,1.592
Hayden Austin-Knab,14,297,343,59,37,22,5,45,431,95.35,5703,3393,2310,62.39,33,18,0,1,1,22,75.86,2,288,9,332,hustle,2025,210.0,0.49,0.09,0.4,42.77,0.24,3.14,0.26,0.22,0.17,22.35,20.43,2.08,-0.11,1.86,2.46,2.69,2.4,2.35,1.12,1.42,1.66,2.53,1.29,1.33,1.672
Alec Wilson Holliday,13,163,188,45,7,38,4,43,102,94.44,2581,307,2274,65.96,15,6,0,0,0,2,100.00,0,162,1,185,hustle,2025,210.0,0.8,0.15,0.72,60.94,0.34,3.95,0.32,0.48,0.24,24.31,36.65,1.29,-0.34,1.72,0.47,0.61,-0.24,-0.36,2.8,-0.21,1.61,-0.57,1.67,0.7,0.657
Brett Hulsmeyer,13,323,347,53,28,25,11,39,353,93.39,5561,1832,3729,61.67,32,22,1,3,0,8,47.06,8,245,78,354,hustle,2025,210.0,0.46,0.1,0.38,41.88,0.23,2.88,0.24,0.23,0.18,17.66,24.23,1.74,1.29,1.44,2.37,2.58,1.77,1.54,1.44,1.96,3.4,0.96,1.21,0.33,0.428
Karl Ekwurtzel,14,171,201,35,2,33,3,34,93,96.88,1786,-121,1907,62.19,9,3,0,1,0,0,--,0,161,10,212,hustle,2025,210.0,0.7,0.14,0.63,53.23,0.29,3.66,0.28,0.43,0.21,20.7,32.56,0.72,-0.57,1.08,-0.03,-0.08,-0.31,-0.81,2.28,-0.62,1.16,-1.0,1.27,0.27,0.271
Jeremy Langdon,9,146,149,35,16,19,2,31,108,96.43,2121,816,1305,63.76,15,3,0,3,0,2,66.67,4,115,31,151,hustle,2025,210.0,0.94,0.18,0.82,73.38,0.42,4.99,0.46,0.48,0.28,33.77,39.64,0.72,-0.81,0.87,0.18,0.61,-0.19,0.46,0.81,-0.62,0.42,-0.06,1.43,0.98,0.831
Dean Ramsey,14,239,117,18,6,12,10,28,18,94.74,935,117,818,53.85,3,0,0,0,1,1,100.00,122,10,229,253,hustle,2025,210.0,1.05,0.29,1.01,82.91,0.43,5.56,0.5,0.55,0.33,36.9,46.05,-0.24,1.06,0.66,-0.57,-0.77,-0.91,-0.45,0.08,-1.03,-0.17,-0.76,0.39,0.23,0.252
Lukas McClamrock,12,190,95,18,12,6,16,24,104,89.66,1106,764,342,57.89,12,10,0,0,1,1,50.00,0,3,187,211,hustle,2025,210.0,1.28,0.41,1.19,102.86,0.62,7.64,0.67,0.61,0.5,51.49,51.42,-0.24,2.46,0.37,-0.47,0.27,-0.22,0.1,-0.55,0.33,-0.76,-0.11,0.81,-0.15,-0.15
Tyler Randall,14,260,128,17,7,10,10,23,77,96.25,796,347,449,55.47,9,3,0,1,0,2,100.00,0,0,260,282,hustle,2025,210.0,0.95,0.26,0.89,75.01,0.44,5.54,0.47,0.49,0.32,35.58,39.47,-0.3,1.06,0.3,-0.66,-0.08,-0.44,-0.36,-0.13,-0.62,-0.63,-0.53,0.56,0.15,0.174
