Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,DPP_Z,MP_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Brett Hulsmeyer,13,306,296,57,27,30,18,53,302,94.08,5232,1653,3579,59.46,21,17,0,5,0,5,62.50,9,203,103,330,hustle,2023,9.12,10.14,19.26,1.02,5.88,0.17,6.0,12.0,18.0,7.09,5.74,17.32,195.0,55.59,17.51,51.27,5061.35,20.48,292.16,26.31,29.25,16.61,1599.14,3462.24,17.28,325.39,1.96,3.15,2.4,2.13,1.3,1.25,1.48,1.88,1.34,2.97,0.79,1.15,0.16,1.86,0.38,1.86,-0.01,1.87,0.232,0.305
Matt Smith,12,187,228,54,12,42,0,53,157,97.52,3383,825,2558,65.35,12,1,0,0,0,1,100.00,0,185,2,226,hustle,2023,5.26,18.42,23.68,0.69,0.0,0.28,4.0,11.0,15.0,5.26,0.44,21.55,195.0,52.32,0.13,50.77,3241.28,11.71,150.45,11.75,40.53,1.17,790.55,2450.77,21.32,224.45,1.76,-1.3,2.36,0.96,0.26,0.17,0.09,3.06,-0.97,1.79,-0.04,1.85,0.79,0.44,-1.13,0.44,1.19,-0.97,1.049,0.305
Dean Ramsey,13,243,215,32,12,20,13,43,40,93.02,1733,235,1498,58.6,6,2,0,0,0,0,--,111,116,127,263,hustle,2023,5.58,9.3,14.88,0.19,5.35,0.18,1.0,7.0,8.0,2.79,0.93,43.32,195.0,31.2,12.56,41.09,1656.42,5.96,38.27,11.73,19.42,2.13,224.78,1431.69,42.11,259.71,0.52,1.88,1.67,-0.05,-0.42,-0.68,0.08,0.84,-0.83,0.61,-0.62,1.04,4.01,0.94,0.74,0.94,0.32,1.14,0.467,0.305
Justin Burnett,11,191,121,18,9,9,21,32,44,89.8,960,305,655,47.93,4,5,1,2,0,2,66.67,1,3,188,199,hustle,2023,7.44,7.44,14.88,0.36,10.99,0.17,3.0,5.0,8.0,3.31,4.13,21.82,195.0,17.69,19.63,29.56,887.48,4.08,40.72,8.77,8.85,5.0,282.1,605.46,21.38,198.24,-0.27,3.69,0.85,-0.55,-0.64,-0.66,-0.2,-0.27,-0.4,-0.35,-0.57,-0.24,0.83,0.07,1.65,0.07,-0.16,2.54,0.111,0.305
Austin Taylor,13,267,323,53,44,9,0,31,510,95.15,5358,4217,1141,60.06,38,21,0,1,0,27,75.00,1,258,9,313,hustle,2023,13.62,2.79,16.41,1.58,0.0,0.12,13.0,4.0,17.0,11.76,6.5,10.51,195.0,51.83,0.09,30.07,5197.4,37.01,494.71,42.86,8.94,20.52,4090.51,1106.92,10.67,309.28,1.74,-1.31,0.89,2.22,3.26,2.78,3.07,-0.26,1.92,0.23,3.35,1.22,-0.85,1.63,-1.03,1.63,1.58,-1.18,1.652,0.305
Bobby Ley,13,259,314,48,39,9,3,28,460,94.85,4688,3582,1106,60.51,25,23,0,0,0,28,77.78,0,259,0,303,hustle,2023,12.42,2.87,15.29,1.46,1.16,0.11,11.0,4.0,15.0,7.96,7.32,10.19,195.0,46.95,3.0,27.14,4543.62,24.38,445.83,37.98,8.94,22.44,3471.6,1072.05,10.37,299.48,1.45,-0.57,0.68,1.8,1.76,2.41,2.6,-0.26,2.21,0.19,2.72,1.27,-0.89,1.49,-1.16,1.49,0.51,-0.64,0.492,0.305
Liam Haberfield,8,144,167,31,18,13,3,28,195,97.01,2438,1390,1048,60.48,13,5,0,1,0,6,75.00,0,138,6,165,hustle,2023,10.78,7.78,18.56,1.17,2.08,0.19,8.0,6.0,15.0,7.78,2.99,12.5,195.0,30.04,3.0,26.42,2300.82,12.55,184.04,17.32,12.66,5.0,1311.75,989.13,12.7,166.36,0.45,-0.57,0.63,0.36,0.36,0.43,0.62,0.13,-0.4,0.09,0.49,1.27,-0.55,-0.37,-1.08,-0.37,0.62,-0.33,0.483,0.305
Christian Olsen,13,228,272,35,13,22,3,26,391,97.51,3634,2442,1192,62.5,31,10,1,2,0,3,75.00,0,211,17,282,hustle,2023,4.78,8.09,12.87,1.44,1.32,0.11,9.0,4.0,13.0,11.4,3.68,9.29,195.0,34.26,3.0,25.08,3505.49,30.08,377.17,12.75,21.47,9.82,2355.58,1149.94,9.53,278.7,0.7,-0.57,0.53,1.13,2.44,1.89,0.18,1.06,0.32,0.28,1.57,1.51,-1.03,1.2,-0.91,1.2,1.46,-0.59,1.509,0.305
Max Thorne,8,131,158,28,12,16,1,26,170,98.84,2296,1228,1068,63.92,16,2,0,1,0,4,80.00,0,130,1,156,hustle,2023,7.59,10.13,17.72,1.08,0.76,0.2,8.0,7.0,15.0,10.13,1.27,13.51,195.0,27.17,1.12,24.45,2159.93,15.35,159.94,11.64,15.46,2.18,1155.2,1004.79,13.66,157.96,0.29,-1.05,0.49,0.27,0.69,0.24,0.08,0.43,-0.82,0.11,0.33,1.68,-0.4,-0.49,-1.15,-0.49,0.94,-0.65,0.699,0.305
Jeremy Langdon,10,170,148,26,15,11,7,24,103,93.64,1758,634,1124,53.38,9,7,1,2,0,3,75.00,4,69,101,193,hustle,2023,10.14,7.43,17.57,0.7,4.12,0.14,4.0,8.0,12.0,6.08,4.73,17.07,195.0,25.24,6.75,22.48,1647.37,8.75,96.54,14.43,10.75,6.87,594.19,1053.24,17.0,192.75,0.17,0.39,0.35,-0.06,-0.09,-0.24,0.34,-0.07,-0.12,0.17,-0.24,0.42,0.13,-0.0,0.35,-0.0,0.01,0.27,0.036,0.305
