Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,Offensive_Value,Score,team_avg_scr
Andrew Roy,14.0,237.0,270.0,31.0,23.0,8.0,2.0,24.0,564.0,98.26,4812.0,3739.0,1073.0,62.59,29.0,9.0,1.0,0.0,0.0,2.0,100.00,0.0,230.0,7.0,262.0,breeze,2023.0,8.52,2.96,11.48,2.09,0.84,0.1,14.0,4.0,18.0,10.74,3.33,8.53,208.0,1.63,1.829,0.393
Ryan Osgar,14.0,243.0,299.0,95.0,76.0,19.0,2.0,80.0,402.0,95.94,6217.0,3510.0,2707.0,60.87,31.0,16.0,0.0,1.0,0.0,35.0,79.55,0.0,243.0,0.0,289.0,empire,2023.0,25.42,6.35,31.77,1.34,0.82,0.33,12.0,9.0,21.0,10.37,5.35,15.47,243.0,1.67,1.821,0.221
Jacob Miller,15.0,312.0,353.0,53.0,28.0,25.0,2.0,41.0,507.0,97.69,6213.0,3727.0,2486.0,62.89,43.0,12.0,0.0,2.0,0.0,7.0,63.64,0.0,300.0,12.0,328.0,shred,2023.0,7.93,7.08,15.01,1.44,0.64,0.13,11.0,7.0,18.0,12.18,3.4,12.25,248.0,1.44,1.656,0.345
Pawel Janas,14.0,319.0,396.0,80.0,67.0,13.0,4.0,51.0,860.0,96.3,8092.0,5962.0,2130.0,54.29,43.0,30.0,0.0,3.0,0.0,10.0,58.82,4.0,314.0,5.0,372.0,aviators,2023.0,16.92,3.28,20.2,2.17,1.25,0.16,15.0,5.0,20.0,10.86,7.58,9.41,230.0,1.24,1.577,0.04
Brandon Van Deusen,13.0,286.0,354.0,55.0,36.0,19.0,7.0,40.0,657.0,96.05,6548.0,5460.0,1088.0,55.93,40.0,20.0,0.0,2.0,0.0,16.0,59.26,0.0,279.0,7.0,332.0,aviators,2023.0,10.17,5.37,15.54,1.86,2.45,0.14,15.0,3.0,18.0,11.3,5.65,9.97,230.0,1.29,1.55,0.04
Jordan Kerr,15.0,327.0,363.0,103.0,61.0,42.0,9.0,100.0,339.0,94.96,5880.0,2324.0,3556.0,62.26,25.0,12.0,0.0,0.0,1.0,8.0,72.73,1.0,307.0,20.0,346.0,shred,2023.0,16.8,11.57,28.37,0.93,2.75,0.31,6.0,10.0,16.0,6.89,3.31,17.35,248.0,1.25,1.476,0.345
Matt Smith,12.0,187.0,228.0,54.0,12.0,42.0,0.0,53.0,157.0,97.52,3383.0,825.0,2558.0,65.35,12.0,1.0,0.0,0.0,0.0,1.0,100.00,0.0,185.0,2.0,226.0,hustle,2023.0,5.26,18.42,23.68,0.69,0.0,0.28,4.0,11.0,15.0,5.26,0.44,21.55,195.0,1.33,1.432,0.3
Thomas Edmonds,13.0,229.0,180.0,35.0,22.0,13.0,7.0,37.0,264.0,98.14,2628.0,1612.0,1016.0,60.56,12.0,5.0,0.0,0.0,0.0,3.0,50.00,71.0,103.0,126.0,269.0,breeze,2023.0,12.22,7.22,19.44,1.47,3.06,0.16,9.0,6.0,15.0,6.67,2.78,9.95,208.0,1.2,1.365,0.393
Travis Carpenter,12.0,246.0,280.0,46.0,35.0,11.0,3.0,33.0,498.0,96.89,4243.0,3675.0,568.0,57.14,30.0,14.0,1.0,2.0,0.0,11.0,68.75,1.0,237.0,9.0,277.0,alleycats,2023.0,12.5,3.93,16.43,1.78,1.22,0.13,13.0,2.0,15.0,10.71,5.0,8.52,215.0,1.19,1.351,0.297
Quinn Finer,13.0,299.0,352.0,64.0,35.0,29.0,3.0,47.0,403.0,95.05,5961.0,2720.0,3241.0,55.68,35.0,16.0,0.0,4.0,0.0,24.0,77.42,0.0,266.0,33.0,330.0,apex,2023.0,9.94,8.24,18.18,1.14,1.0,0.16,8.0,9.0,17.0,9.94,4.55,14.79,196.0,1.01,1.311,0.185
Tyler Monroe,13.0,229.0,262.0,57.0,32.0,25.0,0.0,47.0,317.0,96.06,4078.0,1876.0,2202.0,63.74,25.0,10.0,0.0,0.0,0.0,5.0,62.50,0.0,229.0,0.0,265.0,breeze,2023.0,12.21,9.54,21.76,1.21,0.0,0.21,7.0,8.0,16.0,9.54,3.82,12.86,208.0,1.1,1.242,0.393
