Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,team_avg_pull,team_avg_blk,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,BLK/PP %,Pull/Team Pull %,BLK/Team avg BLK %,SCR/POS %_adj,BLK/PP %_adj,PM/PP_adj,Y/POS_adj,HA/POS %_adj,CMP/POS_adj,AST/POS %_adj,GLS/POS %_adj,T/POS %_adj,TY/POS_adj,RY/POS_adj,Y/CMP_adj,MP_adj,DPP_adj,Pull/Team Pull %_adj,Hck_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_Z,DPP_Z,Pull_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Jordan Kerr,15.0,327.0,363.0,103.0,61.0,42.0,9.0,100.0,339.0,94.96,5880.0,2324.0,3556.0,62.26,25.0,12.0,0.0,0.0,1.0,8.0,72.73,1.0,307.0,20.0,346.0,shred,2023.0,248.0,14.0,7.0,16.8,11.57,28.37,0.93,0.31,6.0,10.0,16.0,6.89,3.31,17.35,2.75,7.14,128.57,27.98,2.76,0.3,15.84,6.84,0.93,16.51,11.45,3.36,5.97,9.89,17.31,341.79,21.55,9.66,7.89,4.52,0.87,5.67,2.54,1.74,1.51,4.59,3.06,0.62,2.95,1.45,1.48,0.17,1.97,-0.87,-0.37,1.89,0.43,3.14,0.702
Jacob Miller,15.0,312.0,353.0,53.0,28.0,25.0,2.0,41.0,507.0,97.69,6213.0,3727.0,2486.0,62.89,43.0,12.0,0.0,2.0,0.0,7.0,63.64,0.0,300.0,12.0,328.0,shred,2023.0,248.0,14.0,7.0,7.93,7.08,15.01,1.44,0.13,11.0,7.0,18.0,12.18,3.4,12.25,0.64,0.0,28.57,14.98,0.71,0.13,17.78,11.98,1.43,7.88,7.08,3.44,10.83,6.97,12.35,324.17,13.82,2.78,6.92,1.72,-0.8,1.55,2.75,3.78,2.75,1.57,1.36,0.62,1.73,2.85,1.56,-0.59,1.74,-0.99,-0.39,2.19,-0.54,3.09,0.702
Brandon Van Deusen,13.0,286.0,354.0,55.0,36.0,19.0,7.0,40.0,657.0,96.05,6548.0,5460.0,1088.0,55.93,40.0,20.0,0.0,2.0,0.0,16.0,59.26,0.0,279.0,7.0,332.0,aviators,2023.0,230.0,9.0,6.0,10.17,5.37,15.54,1.86,0.14,15.0,3.0,18.0,11.3,5.65,9.97,2.45,0.0,116.67,15.5,2.47,0.14,17.78,11.13,1.84,10.06,5.41,5.63,14.73,3.08,10.14,328.07,8.95,2.77,15.67,1.83,0.39,1.48,2.96,3.44,3.86,2.3,0.76,1.75,0.14,4.58,0.72,-0.93,1.8,-1.06,-0.39,1.86,0.15,2.95,0.34
Evan Swiatek,15.0,346.0,423.0,86.0,37.0,49.0,9.0,77.0,315.0,93.75,6065.0,1872.0,4193.0,50.83,28.0,13.0,1.0,5.0,0.0,11.0,84.62,0.0,295.0,51.0,369.0,sol,2023.0,233.0,15.0,7.0,8.75,11.58,20.33,0.74,0.22,4.0,10.0,14.0,6.62,3.07,19.25,2.6,0.0,128.57,20.18,2.61,0.21,13.91,6.58,0.75,8.69,11.47,3.11,4.02,9.91,19.17,364.84,51.62,2.33,10.84,3.56,0.87,4.06,2.66,2.08,1.33,2.39,3.76,0.76,3.68,1.0,0.11,0.45,2.26,-0.4,-0.39,1.58,0.43,2.66,0.236
Ryan Osgar,14.0,243.0,299.0,95.0,76.0,19.0,2.0,80.0,402.0,95.94,6217.0,3510.0,2707.0,60.87,31.0,16.0,0.0,1.0,0.0,35.0,79.55,0.0,243.0,0.0,289.0,empire,2023.0,243.0,15.0,8.0,25.42,6.35,31.77,1.34,0.33,12.0,9.0,21.0,10.37,5.35,15.47,0.82,0.0,25.0,31.19,0.89,0.32,20.64,10.2,1.33,24.79,6.37,5.34,11.77,8.9,15.49,285.76,2.52,3.27,34.0,4.07,-0.8,4.27,2.75,2.42,1.97,5.97,0.76,1.19,1.99,2.63,1.32,-0.11,1.25,-1.16,-0.39,1.89,-0.54,2.62,0.604
Pawel Janas,14.0,319.0,396.0,80.0,67.0,13.0,4.0,51.0,860.0,96.3,8092.0,5962.0,2130.0,54.29,43.0,30.0,0.0,3.0,0.0,10.0,58.82,4.0,314.0,5.0,372.0,aviators,2023.0,230.0,9.0,6.0,16.92,3.28,20.2,2.17,0.16,15.0,5.0,20.0,10.86,7.58,9.41,1.25,44.44,66.67,20.05,1.29,0.16,19.75,10.72,2.14,16.65,3.37,7.52,14.75,5.02,9.57,367.49,6.8,45.83,9.85,3.23,-0.32,2.25,3.93,3.78,5.35,5.14,0.16,3.17,1.33,5.08,0.53,-1.01,2.3,-1.09,-0.22,1.63,-0.23,2.39,0.34
Lukas Ambrose,14.0,337.0,228.0,27.0,7.0,20.0,24.0,47.0,87.0,97.75,1629.0,330.0,1299.0,45.61,10.0,2.0,0.0,2.0,0.0,0.0,0.00,1.0,41.0,296.0,366.0,aviators,2023.0,230.0,9.0,6.0,3.07,8.77,11.84,0.38,0.14,1.0,6.0,7.0,4.39,0.88,18.72,7.12,11.11,400.0,11.93,6.95,0.13,7.13,4.42,0.41,3.19,8.7,1.05,1.17,6.0,18.61,358.56,286.84,14.89,0.17,0.26,4.44,1.97,-0.13,0.05,-0.35,-0.36,0.86,-0.8,0.38,-0.55,-0.51,0.37,2.22,3.27,-0.35,0.64,2.51,2.33,0.34
Jeff Babbitt,14.0,242.0,285.0,62.0,2.0,60.0,15.0,73.0,185.0,97.37,3053.0,230.0,2823.0,58.95,15.0,4.0,0.0,0.0,0.0,1.0,50.00,0.0,202.0,40.0,288.0,empire,2023.0,243.0,15.0,8.0,0.7,21.05,21.75,0.65,0.3,1.0,10.0,11.0,5.26,1.4,16.5,6.2,0.0,187.5,21.49,6.09,0.29,10.97,5.25,0.66,0.88,20.57,1.52,1.14,9.86,16.48,284.64,41.29,3.42,1.1,2.22,2.3,3.78,0.76,0.61,0.37,-0.82,4.86,-0.52,2.12,-0.65,1.09,0.04,1.24,-0.57,-0.39,1.03,1.26,2.26,0.604
Joey Wylie,15.0,323.0,273.0,37.0,13.0,24.0,18.0,45.0,156.0,95.12,2750.0,954.0,1796.0,50.92,17.0,6.0,1.0,4.0,0.0,0.0,0.00,1.0,82.0,241.0,364.0,sol,2023.0,233.0,15.0,7.0,4.76,8.79,13.55,0.57,0.14,3.0,7.0,10.0,6.23,2.2,17.63,5.57,6.67,257.14,13.57,5.48,0.14,10.0,6.19,0.59,4.8,8.73,2.3,3.07,6.96,17.57,357.82,235.24,10.0,0.14,0.82,3.01,1.83,0.57,0.84,0.16,0.19,1.26,-0.23,0.95,0.08,0.12,0.21,2.2,2.45,-0.37,0.85,1.68,2.21,0.236
Sean McDougall,14.0,339.0,397.0,92.0,38.0,54.0,13.0,87.0,280.0,93.65,5307.0,1358.0,3949.0,54.41,25.0,17.0,0.0,1.0,0.0,9.0,60.00,0.0,294.0,45.0,381.0,aviators,2023.0,230.0,9.0,6.0,9.57,13.6,23.17,0.71,0.26,3.0,10.0,13.0,6.3,4.28,18.95,3.83,0.0,216.67,22.94,3.81,0.25,12.93,6.27,0.72,9.48,13.44,4.3,3.05,9.9,18.88,376.28,45.81,2.48,8.88,3.9,1.82,4.76,2.18,1.74,1.07,2.48,4.26,1.33,3.4,0.48,0.54,0.4,2.41,-0.49,-0.39,1.09,0.98,2.2,0.34
