Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,team_avg_pull,team_avg_blk,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,BLK/PP %,Pull/Team Pull %,BLK/Team avg BLK %,SCR/POS %_adj,BLK/PP %_adj,PM/PP_adj,Y/POS_adj,HA/POS %_adj,CMP/POS_adj,AST/POS %_adj,GLS/POS %_adj,T/POS %_adj,TY/POS_adj,RY/POS_adj,Y/CMP_adj,MP_adj,DPP_adj,Pull/Team Pull %_adj,Hck_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_Z,DPP_Z,Pull_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Brett Hulsmeyer,13,306,296,57,27,30,18,53,302,94.08,5232,1653,3579,59.46,21,17,0,5,0,5,62.50,9,203,103,330,hustle,2023,195.0,11.0,6.0,9.12,10.14,19.26,1.02,0.17,6.0,12.0,18.0,7.09,5.74,17.32,5.88,81.82,300.0,19.09,5.79,0.16,17.74,7.02,1.02,9.02,10.04,5.72,5.97,11.8,17.28,325.39,102.18,82.45,4.97,1.94,3.01,2.39,2.13,1.29,1.24,1.47,1.86,1.33,2.98,0.78,1.15,0.16,1.77,0.38,-0.07,0.46,1.73,1.63,0.393
Matt Smith,12,187,228,54,12,42,0,53,157,97.52,3383,825,2558,65.35,12,1,0,0,0,1,100.00,0,185,2,226,hustle,2023,195.0,11.0,6.0,5.26,18.42,23.68,0.69,0.28,4.0,11.0,15.0,5.26,0.44,21.55,0.0,0.0,0.0,23.27,0.13,0.27,14.79,5.25,0.7,5.29,17.94,0.63,4.04,10.79,21.32,224.45,5.19,4.24,1.13,1.77,-1.27,2.39,0.97,0.28,0.16,0.1,3.06,-0.94,1.82,-0.05,1.85,0.79,0.46,-1.13,-0.39,1.15,-0.81,1.34,0.393
Dean Ramsey,13,243,215,32,12,20,13,43,40,93.02,1733,235,1498,58.6,6,2,0,0,0,0,--,111,116,127,263,hustle,2023,195.0,11.0,6.0,5.58,9.3,14.88,0.19,0.18,1.0,7.0,8.0,2.79,0.93,43.32,5.35,1009.09,216.67,14.84,5.25,0.17,8.09,2.89,0.23,5.6,9.2,1.11,1.18,6.96,42.11,259.71,124.82,968.73,0.18,0.54,1.82,1.69,-0.06,-0.4,-0.7,0.1,0.86,-0.8,0.61,-0.64,1.04,4.01,0.93,0.74,3.55,0.42,1.72,1.57,0.393
Justin Burnett,11,191,121,18,9,9,21,32,44,89.8,960,305,655,47.93,4,5,1,2,0,2,66.67,1,3,188,199,hustle,2023,195.0,11.0,6.0,7.44,7.44,14.88,0.36,0.17,3.0,5.0,8.0,3.31,4.13,21.82,10.99,9.09,350.0,14.81,10.38,0.16,8.15,3.44,0.41,7.33,7.41,4.2,3.15,5.08,21.38,198.24,179.6,16.11,2.15,-0.24,3.73,0.92,-0.55,-0.63,-0.67,-0.18,-0.24,-0.37,-0.35,-0.57,-0.24,0.83,0.12,1.65,-0.36,-0.18,2.1,0.85,0.393
Austin Taylor,13,267,323,53,44,9,0,31,510,95.15,5358,4217,1141,60.06,38,21,0,1,0,27,75.00,1,258,9,313,hustle,2023,195.0,11.0,6.0,13.62,2.79,16.41,1.58,0.12,13.0,4.0,17.0,11.76,6.5,10.51,0.0,9.09,0.0,16.34,0.09,0.12,16.79,11.56,1.56,13.39,2.92,6.45,12.76,4.06,10.67,309.28,11.07,11.85,26.31,1.72,-1.27,0.86,2.21,3.21,2.77,3.03,-0.24,1.89,0.21,3.34,1.22,-0.85,1.56,-1.03,-0.36,1.33,-0.81,1.62,0.393
Bobby Ley,13,259,314,48,39,9,3,28,460,94.85,4688,3582,1106,60.51,25,23,0,0,0,28,77.78,0,259,0,303,hustle,2023,195.0,11.0,6.0,12.42,2.87,15.29,1.46,0.11,11.0,4.0,15.0,7.96,7.32,10.19,1.16,0.0,50.0,15.25,1.22,0.11,14.85,7.87,1.45,12.22,3.0,7.25,10.81,4.06,10.37,299.48,2.41,3.12,27.26,1.44,-0.56,0.65,1.79,1.74,2.4,2.57,-0.24,2.18,0.17,2.71,1.27,-0.89,1.43,-1.16,-0.39,0.43,-0.4,0.45,0.393
Liam Haberfield,8,144,167,31,18,13,3,28,195,97.01,2438,1390,1048,60.48,13,5,0,1,0,6,75.00,0,138,6,165,hustle,2023,195.0,11.0,6.0,10.78,7.78,18.56,1.17,0.19,8.0,6.0,15.0,7.78,2.99,12.5,2.08,0.0,50.0,18.3,2.13,0.18,14.72,7.62,1.16,10.51,7.74,3.1,7.83,6.0,12.7,166.36,10.07,5.71,5.89,0.48,-0.56,0.65,0.38,0.39,0.45,0.65,0.16,-0.37,0.1,0.51,1.27,-0.55,-0.31,-1.08,-0.39,0.58,-0.4,0.68,0.393
Christian Olsen,13,228,272,35,13,22,3,26,391,97.51,3634,2442,1192,62.5,31,10,1,2,0,3,75.00,0,211,17,282,hustle,2023,195.0,11.0,6.0,4.78,8.09,12.87,1.44,0.11,9.0,4.0,13.0,11.4,3.68,9.29,1.32,0.0,50.0,12.91,1.38,0.11,12.89,11.17,1.42,4.82,8.05,3.73,8.86,4.07,9.53,278.7,19.16,3.58,3.04,0.71,-0.56,0.51,1.13,2.42,1.89,0.19,1.06,0.33,0.26,1.57,1.51,-1.03,1.17,-0.91,-0.39,1.28,-0.4,1.76,0.393
Max Thorne,8,131,158,28,12,16,1,26,170,98.84,2296,1228,1068,63.92,16,2,0,1,0,4,80.00,0,130,1,156,hustle,2023,195.0,11.0,6.0,7.59,10.13,17.72,1.08,0.2,8.0,7.0,15.0,10.13,1.27,13.51,0.76,0.0,16.67,17.5,0.89,0.19,14.7,9.82,1.08,7.5,9.94,1.49,7.82,6.94,13.66,157.96,5.58,6.01,4.0,0.32,-1.04,0.51,0.29,0.73,0.26,0.1,0.46,-0.8,0.12,0.35,1.68,-0.4,-0.42,-1.15,-0.39,0.86,-0.68,0.96,0.393
Jeremy Langdon,10,170,148,26,15,11,7,24,103,93.64,1758,634,1124,53.38,9,7,1,2,0,3,75.00,4,69,101,193,hustle,2023,195.0,11.0,6.0,10.14,7.43,17.57,0.7,0.14,4.0,8.0,12.0,6.08,4.73,17.07,4.12,36.36,116.67,17.34,4.05,0.13,11.87,6.01,0.72,9.88,7.4,4.75,4.06,7.87,17.0,192.75,99.54,40.45,3.06,0.2,0.39,0.37,-0.05,-0.06,-0.23,0.37,-0.04,-0.09,0.19,-0.24,0.42,0.13,0.05,0.35,-0.25,0.03,0.18,0.14,0.393
