Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,team_avg_pull,team_avg_blk,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,BLK/PP %,Pull/Team Pull %,BLK/Team avg BLK %,SCR/POS %_adj,BLK/PP %_adj,PM/PP_adj,Y/POS_adj,HA/POS %_adj,CMP/POS_adj,AST/POS %_adj,GLS/POS %_adj,T/POS %_adj,TY/POS_adj,RY/POS_adj,Y/CMP_adj,MP_adj,DPP_adj,Pull/Team Pull %_adj,Hck_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_Z,DPP_Z,Pull_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Jacob Miller,15.0,312.0,353.0,53.0,28.0,25.0,2.0,41.0,507.0,97.69,6213.0,3727.0,2486.0,62.89,43.0,12.0,0.0,2.0,0.0,7.0,63.64,0.0,300.0,12.0,328.0,shred,2023.0,256.0,15.0,7.0,7.93,7.08,15.01,1.44,0.13,11.0,7.0,18.0,12.18,3.4,12.25,0.64,0.0,28.57,14.95,0.71,0.13,17.78,11.98,1.43,7.88,7.08,3.44,10.83,6.94,12.35,324.58,13.98,2.75,6.92,1.6,-0.89,1.44,2.62,3.63,2.6,1.45,1.25,0.52,1.62,2.7,1.58,-0.58,1.75,-1.05,-0.41,2.17,-0.57,2.94,0.664
Jordan Kerr,15.0,327.0,363.0,103.0,61.0,42.0,9.0,100.0,339.0,94.96,5880.0,2324.0,3556.0,62.26,25.0,12.0,0.0,0.0,1.0,8.0,72.73,1.0,307.0,20.0,346.0,shred,2023.0,256.0,15.0,7.0,16.8,11.57,28.37,0.93,0.31,6.0,10.0,16.0,6.89,3.31,17.35,2.75,6.67,128.57,27.96,2.76,0.3,15.84,6.84,0.93,16.51,11.45,3.36,5.97,9.87,17.31,342.19,21.72,9.17,7.89,4.38,0.77,5.53,2.41,1.63,1.39,4.4,2.92,0.52,2.81,1.33,1.5,0.18,2.01,-0.94,-0.38,1.82,0.35,2.91,0.664
Brandon Van Deusen,13.0,286.0,354.0,55.0,36.0,19.0,7.0,40.0,657.0,96.05,6548.0,5460.0,1088.0,55.93,40.0,20.0,0.0,2.0,0.0,16.0,59.26,0.0,279.0,7.0,332.0,aviators,2023.0,238.0,10.0,6.0,10.17,5.37,15.54,1.86,0.14,15.0,3.0,18.0,11.3,5.65,9.97,2.45,0.0,116.67,15.47,2.47,0.14,17.78,11.13,1.84,10.06,5.41,5.63,14.73,3.05,10.14,328.48,9.12,2.75,15.67,1.72,0.29,1.37,2.83,3.3,3.69,2.17,0.66,1.64,0.06,4.38,0.71,-0.92,1.81,-1.13,-0.41,1.84,0.08,2.79,0.314
Evan Swiatek,15.0,346.0,423.0,86.0,37.0,49.0,9.0,77.0,315.0,93.75,6065.0,1872.0,4193.0,50.83,28.0,13.0,1.0,5.0,0.0,11.0,84.62,0.0,295.0,51.0,369.0,sol,2023.0,243.0,16.0,7.0,8.75,11.58,20.33,0.74,0.22,4.0,10.0,14.0,6.62,3.07,19.25,2.6,0.0,128.57,20.16,2.61,0.21,13.91,6.58,0.75,8.69,11.47,3.11,4.02,9.88,19.17,365.19,51.76,2.31,10.84,3.43,0.77,3.94,2.53,1.96,1.22,2.26,3.61,0.66,3.52,0.9,0.07,0.46,2.33,-0.48,-0.41,1.54,0.35,2.49,0.213
Ryan Osgar,14.0,243.0,299.0,95.0,76.0,19.0,2.0,80.0,402.0,95.94,6217.0,3510.0,2707.0,60.87,31.0,16.0,0.0,1.0,0.0,35.0,79.55,0.0,243.0,0.0,289.0,empire,2023.0,243.0,15.0,8.0,25.42,6.35,31.77,1.34,0.33,12.0,9.0,21.0,10.37,5.35,15.47,0.82,0.0,25.0,31.16,0.89,0.32,20.64,10.2,1.33,24.79,6.37,5.34,11.77,8.87,15.49,286.25,2.72,3.24,34.0,3.93,-0.89,4.15,2.62,2.3,1.85,5.74,0.66,1.08,1.87,2.49,1.33,-0.1,1.2,-1.23,-0.41,1.82,-0.57,2.42,0.506
Pawel Janas,14.0,319.0,396.0,80.0,67.0,13.0,4.0,51.0,860.0,96.3,8092.0,5962.0,2130.0,54.29,43.0,30.0,0.0,3.0,0.0,10.0,58.82,4.0,314.0,5.0,372.0,aviators,2023.0,238.0,10.0,6.0,16.92,3.28,20.2,2.17,0.16,15.0,5.0,20.0,10.86,7.58,9.41,1.25,40.0,66.67,20.02,1.29,0.16,19.75,10.72,2.14,16.65,3.37,7.52,14.75,5.0,9.57,367.86,6.95,41.48,9.85,3.1,-0.42,2.14,3.78,3.63,5.15,4.94,0.07,3.03,1.22,4.87,0.51,-1.0,2.37,-1.16,-0.24,1.6,-0.28,2.24,0.314
Lukas Ambrose,14.0,337.0,228.0,27.0,7.0,20.0,24.0,47.0,87.0,97.75,1629.0,330.0,1299.0,45.61,10.0,2.0,0.0,2.0,0.0,0.0,0.00,1.0,41.0,296.0,366.0,aviators,2023.0,238.0,10.0,6.0,3.07,8.77,11.84,0.38,0.14,1.0,6.0,7.0,4.39,0.88,18.72,7.12,10.0,400.0,11.89,6.95,0.13,7.13,4.42,0.41,3.19,8.7,1.05,1.17,5.96,18.61,359.19,287.09,13.78,0.17,0.16,4.32,1.86,-0.22,-0.04,-0.42,-0.42,0.76,-0.87,0.3,-0.6,-0.58,0.38,2.29,3.13,-0.37,0.63,2.33,2.17,0.314
Jeff Babbitt,14.0,242.0,285.0,62.0,2.0,60.0,15.0,73.0,185.0,97.37,3053.0,230.0,2823.0,58.95,15.0,4.0,0.0,0.0,0.0,1.0,50.00,0.0,202.0,40.0,288.0,empire,2023.0,243.0,15.0,8.0,0.7,21.05,21.75,0.65,0.3,1.0,10.0,11.0,5.26,1.4,16.5,6.2,0.0,187.5,21.45,6.09,0.29,10.97,5.25,0.66,0.88,20.57,1.52,1.14,9.83,16.48,285.15,41.49,3.39,1.1,2.1,2.19,3.66,0.66,0.52,0.28,-0.87,4.7,-0.59,2.0,-0.7,1.09,0.05,1.19,-0.64,-0.41,0.98,1.14,2.07,0.506
Joey Wylie,15.0,323.0,273.0,37.0,13.0,24.0,18.0,45.0,156.0,95.12,2750.0,954.0,1796.0,50.92,17.0,6.0,1.0,4.0,0.0,0.0,0.00,1.0,82.0,241.0,364.0,sol,2023.0,243.0,16.0,7.0,4.76,8.79,13.55,0.57,0.14,3.0,7.0,10.0,6.23,2.2,17.63,5.57,6.25,257.14,13.53,5.48,0.14,10.0,6.19,0.59,4.8,8.73,2.3,3.07,6.93,17.57,358.35,235.45,9.56,0.14,0.72,2.9,1.72,0.48,0.74,0.07,0.11,1.15,-0.31,0.85,0.0,0.09,0.22,2.26,2.32,-0.38,0.83,1.54,2.05,0.213
Sean McDougall,14.0,339.0,397.0,92.0,38.0,54.0,13.0,87.0,280.0,93.65,5307.0,1358.0,3949.0,54.41,25.0,17.0,0.0,1.0,0.0,9.0,60.00,0.0,294.0,45.0,381.0,aviators,2023.0,238.0,10.0,6.0,9.57,13.6,23.17,0.71,0.26,3.0,10.0,13.0,6.3,4.28,18.95,3.83,0.0,216.67,22.92,3.81,0.25,12.93,6.27,0.72,9.48,13.44,4.3,3.05,9.88,18.88,376.65,45.96,2.46,8.88,3.77,1.71,4.63,2.06,1.63,0.97,2.35,4.11,1.22,3.25,0.4,0.52,0.42,2.5,-0.57,-0.41,1.04,0.87,2.01,0.314
