Model,Features,n_features,CV_R2,CV_RMSE
GradientBoosting,ALL,13,0.4517,5.9496
RandomForest,ALL,13,0.4259,6.0861
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'G', 'PP', 'HA']",7,0.4247,6.0931
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'G', 'PP', 'HA', 'SCR']",8,0.4237,6.0961
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'G', 'PP']",6,0.414,6.1477
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'G', 'PP', 'SCR']",7,0.412,6.1573
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'G', 'HA']",6,0.4103,6.1644
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'G', 'SCR']",6,0.401,6.2112
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'G']",5,0.3958,6.2374
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'PP']",5,0.3844,6.3013
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'HA']",5,0.3672,6.3839
LinearRegression,ALL,13,0.3657,6.401
Lasso(α=0.01),ALL,13,0.3657,6.4007
Ridge(α=1),ALL,13,0.3657,6.4007
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY', 'SCR']",5,0.3613,6.4094
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'TY']",4,0.3535,6.4501
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'G', 'TY']",7,0.3516,6.472
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'G', 'TY']",7,0.3516,6.4719
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'G', 'TY', 'SCR']",8,0.3514,6.473
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'G', 'TY', 'SCR']",8,0.3514,6.4728
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'G']",6,0.3513,6.4725
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'G']",6,0.3513,6.4724
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'G', 'SCR']",7,0.3509,6.4744
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'G', 'SCR']",7,0.3509,6.4745
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'HA']",4,0.3459,6.4939
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'SCR']",4,0.3437,6.5001
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP']",5,0.3399,6.5304
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP']",5,0.3399,6.5305
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'G']",4,0.3396,6.5241
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'SCR']",6,0.3394,6.5324
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'TY']",6,0.3394,6.5336
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'TY']",6,0.3394,6.5335
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'PP', 'SCR']",6,0.3394,6.5324
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP']",4,0.326,6.5975
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP']",4,0.326,6.5974
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'SCR']",5,0.3255,6.5999
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'SCR']",5,0.3255,6.6
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'TY']",5,0.3252,6.6019
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'TY']",5,0.3252,6.6018
RandomForest,"['+/- ▼', 'Cmp%', 'OPP', 'PP']",4,0.3242,6.6014
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'OPP', 'G']",5,0.324,6.6074
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'OPP', 'G']",5,0.324,6.6074
Ridge(α=1),"['Cmp%', '+/- ▼', 'HA', 'PP']",4,0.3112,6.6691
LinearRegression,"['Cmp%', '+/- ▼', 'HA', 'PP']",4,0.3112,6.6692
